ticket_description,category,priority
"Application becomes unresponsive reported by several employees, this is a moderate impact issue (ticket 5963)",Software,Medium
"Unable to install latest software update on the office laptop, this is a minor issue (ticket 5964)",Software,Low
"Bug encountered after update on the office laptop, this is a critical issue issue (ticket 5965)",Software,High
"Application crashes during startup affecting critical business operations, this is a urgent issue (ticket 5966)",Software,High
"Application crashes during startup reported by several employees, this is a needs attention issue (ticket 5967)",Software,Medium
"Bug encountered after update for multiple users in the same department, this is a occasionally issue (ticket 5968)",Software,Low
"System performance degrades after patch reported by several employees, this is a urgent issue (ticket 5969)",Software,High
"Unable to install latest software update since this morning, this is a non-critical issue (ticket 5970)",Software,Low
"System performance degrades after patch since this morning, this is a occasionally issue (ticket 5971)",Software,Low
"System displays unexpected error message on the office laptop, this is a low impact issue (ticket 5972)",Software,Low
"Application crashes during startup after recent configuration changes, this is a non-critical issue (ticket 5973)",Software,Low
"System displays unexpected error message reported by several employees, this is a urgent issue (ticket 5974)",Software,High
"System performance degrades after patch when connected to office network, this is a occasionally issue (ticket 5975)",Software,Low
"Bug encountered after update since this morning, this is a occasionally issue (ticket 5976)",Software,Low
"System displays unexpected error message since this morning, this is a critical issue issue (ticket 5977)",Software,High
"Bug encountered after update affecting critical business operations, this is a occasionally issue (ticket 5978)",Software,Low
"Bug encountered after update on the office laptop, this is a moderate impact issue (ticket 5979)",Software,Medium
"System performance degrades after patch for multiple users in the same department, this is a system down issue (ticket 5980)",Software,High
"Software license has expired after the latest system update, this is a non-critical issue (ticket 5981)",Software,Low
"Application becomes unresponsive during peak working hours, this is a moderate impact issue (ticket 5982)",Software,Medium
"System displays unexpected error message after the latest system update, this is a needs attention issue (ticket 5983)",Software,Medium
"Bug encountered after update on the office laptop, this is a occasionally issue (ticket 5984)",Software,Low
"Unable to install latest software update intermittently throughout the day, this is a critical issue issue (ticket 5985)",Software,High
"Application crashes during startup for multiple users in the same department, this is a minor issue (ticket 5986)",Software,Low
"System performance degrades after patch affecting critical business operations, this is a urgent issue (ticket 5987)",Software,High
"Application crashes during startup affecting critical business operations, this is a low impact issue (ticket 5988)",Software,Low
"Application crashes during startup after the latest system update, this is a needs attention issue (ticket 5989)",Software,Medium
"System displays unexpected error message reported by several employees, this is a low impact issue (ticket 5990)",Software,Low
"Application crashes during startup since this morning, this is a occasionally issue (ticket 5991)",Software,Low
"Unable to install latest software update since this morning, this is a low impact issue (ticket 5992)",Software,Low
"Application crashes during startup since this morning, this is a occasionally issue (ticket 5993)",Software,Low
"Application becomes unresponsive after the latest system update, this is a affects productivity issue (ticket 5994)",Software,Medium
"Application crashes during startup after the latest system update, this is a occasionally issue (ticket 5995)",Software,Low
"Application becomes unresponsive when connected to office network, this is a minor issue (ticket 5996)",Software,Low
"Unable to install latest software update since this morning, this is a needs attention issue (ticket 5997)",Software,Medium
"Application becomes unresponsive intermittently throughout the day, this is a low impact issue (ticket 5998)",Software,Low
"Software license has expired intermittently throughout the day, this is a non-critical issue (ticket 5999)",Software,Low
"Monitor screen keeps flickering when connected to office network, this is a needs attention issue (ticket 6000)",Hardware,Medium
"Battery drains unusually fast after the latest system update, this is a blocking operations issue (ticket 6001)",Hardware,High
"Hard disk failure warning appears on the office laptop, this is a urgent issue (ticket 6002)",Hardware,High
"Hard disk failure warning appears since this morning, this is a minor issue (ticket 6003)",Hardware,Low
"Monitor screen keeps flickering on the office laptop, this is a low impact issue (ticket 6004)",Hardware,Low
"Battery drains unusually fast on the office laptop, this is a urgent issue (ticket 6005)",Hardware,High
"Hard disk failure warning appears after the latest system update, this is a non-critical issue (ticket 6006)",Hardware,Low
"Printer does not respond to commands when connected to office network, this is a low impact issue (ticket 6007)",Hardware,Low
"Printer does not respond to commands after the latest system update, this is a non-critical issue (ticket 6008)",Hardware,Low
"Hardware device not recognized by system during peak working hours, this is a affects productivity issue (ticket 6009)",Hardware,Medium
"Hardware device not recognized by system after recent configuration changes, this is a affects productivity issue (ticket 6010)",Hardware,Medium
"Hard disk failure warning appears after recent configuration changes, this is a blocking operations issue (ticket 6011)",Hardware,High
"Hardware device not recognized by system when connected to office network, this is a needs attention issue (ticket 6012)",Hardware,Medium
"Monitor screen keeps flickering when connected to office network, this is a system down issue (ticket 6013)",Hardware,High
"Monitor screen keeps flickering during peak working hours, this is a blocking operations issue (ticket 6014)",Hardware,High
"Hard disk failure warning appears affecting critical business operations, this is a non-critical issue (ticket 6015)",Hardware,Low
"Hardware device not recognized by system reported by several employees, this is a low impact issue (ticket 6016)",Hardware,Low
"Hardware device not recognized by system during peak working hours, this is a moderate impact issue (ticket 6017)",Hardware,Medium
"Laptop overheats after long usage on the office laptop, this is a minor issue (ticket 6018)",Hardware,Low
"Hard disk failure warning appears during peak working hours, this is a urgent issue (ticket 6019)",Hardware,High
"Printer does not respond to commands reported by several employees, this is a needs attention issue (ticket 6020)",Hardware,Medium
"Several keyboard keys are not functioning after the latest system update, this is a non-critical issue (ticket 6021)",Hardware,Low
"Hardware device not recognized by system on the office laptop, this is a non-critical issue (ticket 6022)",Hardware,Low
"Battery drains unusually fast when connected to office network, this is a blocking operations issue (ticket 6023)",Hardware,High
"Printer does not respond to commands after the latest system update, this is a system down issue (ticket 6024)",Hardware,High
"Laptop overheats after long usage intermittently throughout the day, this is a needs attention issue (ticket 6025)",Hardware,Medium
"Hardware device not recognized by system for multiple users in the same department, this is a needs attention issue (ticket 6026)",Hardware,Medium
"Several keyboard keys are not functioning intermittently throughout the day, this is a occasionally issue (ticket 6027)",Hardware,Low
"Laptop overheats after long usage when connected to office network, this is a needs attention issue (ticket 6028)",Hardware,Medium
"Hardware device not recognized by system for multiple users in the same department, this is a affects productivity issue (ticket 6029)",Hardware,Medium
"Hardware device not recognized by system during peak working hours, this is a low impact issue (ticket 6030)",Hardware,Low
"Hardware device not recognized by system on the office laptop, this is a affects productivity issue (ticket 6031)",Hardware,Medium
"Printer does not respond to commands after the latest system update, this is a affects productivity issue (ticket 6032)",Hardware,Medium
"Hardware device not recognized by system when connected to office network, this is a occasionally issue (ticket 6033)",Hardware,Low
"Monitor screen keeps flickering reported by several employees, this is a moderate impact issue (ticket 6034)",Hardware,Medium
"Hardware device not recognized by system affecting critical business operations, this is a critical issue issue (ticket 6035)",Hardware,High
"Printer does not respond to commands affecting critical business operations, this is a low impact issue (ticket 6036)",Hardware,Low
"Printer does not respond to commands since this morning, this is a blocking operations issue (ticket 6037)",Hardware,High
"Monitor screen keeps flickering since this morning, this is a minor issue (ticket 6038)",Hardware,Low
"Hardware device not recognized by system during peak working hours, this is a system down issue (ticket 6039)",Hardware,High
"Laptop overheats after long usage after the latest system update, this is a urgent issue (ticket 6040)",Hardware,High
"Monitor screen keeps flickering on the office laptop, this is a needs attention issue (ticket 6041)",Hardware,Medium
"Laptop overheats after long usage after the latest system update, this is a minor issue (ticket 6042)",Hardware,Low
"Laptop overheats after long usage when connected to office network, this is a low impact issue (ticket 6043)",Hardware,Low
"Laptop overheats after long usage on the office laptop, this is a affects productivity issue (ticket 6044)",Hardware,Medium
"Battery drains unusually fast affecting critical business operations, this is a minor issue (ticket 6045)",Hardware,Low
"Several keyboard keys are not functioning after the latest system update, this is a occasionally issue (ticket 6046)",Hardware,Low
"Laptop overheats after long usage reported by several employees, this is a minor issue (ticket 6047)",Hardware,Low
"Laptop overheats after long usage during peak working hours, this is a critical issue issue (ticket 6048)",Hardware,High
"Laptop overheats after long usage on the office laptop, this is a low impact issue (ticket 6049)",Hardware,Low
"Hardware device not recognized by system during peak working hours, this is a low impact issue (ticket 6050)",Hardware,Low
"Battery drains unusually fast during peak working hours, this is a needs attention issue (ticket 6051)",Hardware,Medium
"Hardware device not recognized by system affecting critical business operations, this is a minor issue (ticket 6052)",Hardware,Low
"Battery drains unusually fast when connected to office network, this is a system down issue (ticket 6053)",Hardware,High
"Hardware device not recognized by system intermittently throughout the day, this is a moderate impact issue (ticket 6054)",Hardware,Medium
"Hardware device not recognized by system since this morning, this is a needs attention issue (ticket 6055)",Hardware,Medium
"Laptop overheats after long usage reported by several employees, this is a moderate impact issue (ticket 6056)",Hardware,Medium
"Hard disk failure warning appears affecting critical business operations, this is a non-critical issue (ticket 6057)",Hardware,Low
"Laptop overheats after long usage during peak working hours, this is a low impact issue (ticket 6058)",Hardware,Low
"Monitor screen keeps flickering on the office laptop, this is a occasionally issue (ticket 6059)",Hardware,Low
"Battery drains unusually fast during peak working hours, this is a occasionally issue (ticket 6060)",Hardware,Low
"Printer does not respond to commands affecting critical business operations, this is a needs attention issue (ticket 6061)",Hardware,Medium
"Printer does not respond to commands since this morning, this is a needs attention issue (ticket 6062)",Hardware,Medium
"Printer does not respond to commands since this morning, this is a needs attention issue (ticket 6063)",Hardware,Medium
"Laptop overheats after long usage when connected to office network, this is a minor issue (ticket 6064)",Hardware,Low
"Printer does not respond to commands affecting critical business operations, this is a low impact issue (ticket 6065)",Hardware,Low
"Hardware device not recognized by system after the latest system update, this is a occasionally issue (ticket 6066)",Hardware,Low
"Battery drains unusually fast reported by several employees, this is a blocking operations issue (ticket 6067)",Hardware,High
"Monitor screen keeps flickering after recent configuration changes, this is a affects productivity issue (ticket 6068)",Hardware,Medium
"Printer does not respond to commands on the office laptop, this is a affects productivity issue (ticket 6069)",Hardware,Medium
"Laptop overheats after long usage after recent configuration changes, this is a critical issue issue (ticket 6070)",Hardware,High
"Laptop overheats after long usage after the latest system update, this is a moderate impact issue (ticket 6071)",Hardware,Medium
"Laptop overheats after long usage affecting critical business operations, this is a non-critical issue (ticket 6072)",Hardware,Low
"Hard disk failure warning appears affecting critical business operations, this is a occasionally issue (ticket 6073)",Hardware,Low
"Battery drains unusually fast for multiple users in the same department, this is a needs attention issue (ticket 6074)",Hardware,Medium
"Several keyboard keys are not functioning after the latest system update, this is a low impact issue (ticket 6075)",Hardware,Low
"Several keyboard keys are not functioning after the latest system update, this is a critical issue issue (ticket 6076)",Hardware,High
"Hard disk failure warning appears reported by several employees, this is a low impact issue (ticket 6077)",Hardware,Low
"Printer does not respond to commands when connected to office network, this is a needs attention issue (ticket 6078)",Hardware,Medium
"Monitor screen keeps flickering when connected to office network, this is a affects productivity issue (ticket 6079)",Hardware,Medium
"Hard disk failure warning appears after recent configuration changes, this is a needs attention issue (ticket 6080)",Hardware,Medium
"Laptop overheats after long usage when connected to office network, this is a affects productivity issue (ticket 6081)",Hardware,Medium
"Several keyboard keys are not functioning reported by several employees, this is a urgent issue (ticket 6082)",Hardware,High
"Battery drains unusually fast after the latest system update, this is a minor issue (ticket 6083)",Hardware,Low
"Battery drains unusually fast during peak working hours, this is a urgent issue (ticket 6084)",Hardware,High
"Hardware device not recognized by system after the latest system update, this is a minor issue (ticket 6085)",Hardware,Low
"Hard disk failure warning appears since this morning, this is a non-critical issue (ticket 6086)",Hardware,Low
"Laptop overheats after long usage affecting critical business operations, this is a affects productivity issue (ticket 6087)",Hardware,Medium
"Monitor screen keeps flickering on the office laptop, this is a moderate impact issue (ticket 6088)",Hardware,Medium
"Laptop overheats after long usage reported by several employees, this is a affects productivity issue (ticket 6089)",Hardware,Medium
"Printer does not respond to commands after the latest system update, this is a non-critical issue (ticket 6090)",Hardware,Low
"Printer does not respond to commands during peak working hours, this is a minor issue (ticket 6091)",Hardware,Low
"Monitor screen keeps flickering during peak working hours, this is a moderate impact issue (ticket 6092)",Hardware,Medium
"Hardware device not recognized by system during peak working hours, this is a urgent issue (ticket 6093)",Hardware,High
"Hardware device not recognized by system on the office laptop, this is a minor issue (ticket 6094)",Hardware,Low
"Monitor screen keeps flickering during peak working hours, this is a non-critical issue (ticket 6095)",Hardware,Low
"Hardware device not recognized by system affecting critical business operations, this is a urgent issue (ticket 6096)",Hardware,High
"Hard disk failure warning appears on the office laptop, this is a non-critical issue (ticket 6097)",Hardware,Low
"Several keyboard keys are not functioning for multiple users in the same department, this is a affects productivity issue (ticket 6098)",Hardware,Medium
"Laptop overheats after long usage intermittently throughout the day, this is a minor issue (ticket 6099)",Hardware,Low
"Hardware device not recognized by system for multiple users in the same department, this is a blocking operations issue (ticket 6100)",Hardware,High
"Monitor screen keeps flickering after the latest system update, this is a moderate impact issue (ticket 6101)",Hardware,Medium
"Hardware device not recognized by system when connected to office network, this is a critical issue issue (ticket 6102)",Hardware,High
"Monitor screen keeps flickering after recent configuration changes, this is a non-critical issue (ticket 6103)",Hardware,Low
"Monitor screen keeps flickering during peak working hours, this is a minor issue (ticket 6104)",Hardware,Low
"Hard disk failure warning appears after recent configuration changes, this is a minor issue (ticket 6105)",Hardware,Low
"Several keyboard keys are not functioning on the office laptop, this is a moderate impact issue (ticket 6106)",Hardware,Medium
"Hard disk failure warning appears affecting critical business operations, this is a non-critical issue (ticket 6107)",Hardware,Low
"Monitor screen keeps flickering after the latest system update, this is a minor issue (ticket 6108)",Hardware,Low
"Hardware device not recognized by system reported by several employees, this is a affects productivity issue (ticket 6109)",Hardware,Medium
"Battery drains unusually fast when connected to office network, this is a non-critical issue (ticket 6110)",Hardware,Low
"Hardware device not recognized by system for multiple users in the same department, this is a non-critical issue (ticket 6111)",Hardware,Low
"Hardware device not recognized by system for multiple users in the same department, this is a low impact issue (ticket 6112)",Hardware,Low
"Hard disk failure warning appears after the latest system update, this is a minor issue (ticket 6113)",Hardware,Low
"Hard disk failure warning appears during peak working hours, this is a occasionally issue (ticket 6114)",Hardware,Low
"Laptop overheats after long usage affecting critical business operations, this is a needs attention issue (ticket 6115)",Hardware,Medium
"Hard disk failure warning appears for multiple users in the same department, this is a needs attention issue (ticket 6116)",Hardware,Medium
"Printer does not respond to commands on the office laptop, this is a moderate impact issue (ticket 6117)",Hardware,Medium
"Laptop overheats after long usage on the office laptop, this is a non-critical issue (ticket 6118)",Hardware,Low
"Monitor screen keeps flickering on the office laptop, this is a affects productivity issue (ticket 6119)",Hardware,Medium
"Hard disk failure warning appears for multiple users in the same department, this is a urgent issue (ticket 6120)",Hardware,High
"Printer does not respond to commands intermittently throughout the day, this is a moderate impact issue (ticket 6121)",Hardware,Medium
"Several keyboard keys are not functioning when connected to office network, this is a occasionally issue (ticket 6122)",Hardware,Low
"Monitor screen keeps flickering for multiple users in the same department, this is a needs attention issue (ticket 6123)",Hardware,Medium
"Battery drains unusually fast affecting critical business operations, this is a occasionally issue (ticket 6124)",Hardware,Low
"Hard disk failure warning appears after the latest system update, this is a needs attention issue (ticket 6125)",Hardware,Medium
"Laptop overheats after long usage after recent configuration changes, this is a non-critical issue (ticket 6126)",Hardware,Low
"Several keyboard keys are not functioning since this morning, this is a low impact issue (ticket 6127)",Hardware,Low
"Battery drains unusually fast on the office laptop, this is a minor issue (ticket 6128)",Hardware,Low
"Hardware device not recognized by system on the office laptop, this is a system down issue (ticket 6129)",Hardware,High
"Battery drains unusually fast affecting critical business operations, this is a blocking operations issue (ticket 6130)",Hardware,High
"Hard disk failure warning appears when connected to office network, this is a needs attention issue (ticket 6131)",Hardware,Medium
"Printer does not respond to commands after the latest system update, this is a low impact issue (ticket 6132)",Hardware,Low
"Battery drains unusually fast affecting critical business operations, this is a critical issue issue (ticket 6133)",Hardware,High
"Hard disk failure warning appears since this morning, this is a moderate impact issue (ticket 6134)",Hardware,Medium
"Printer does not respond to commands when connected to office network, this is a affects productivity issue (ticket 6135)",Hardware,Medium
"Several keyboard keys are not functioning since this morning, this is a needs attention issue (ticket 6136)",Hardware,Medium
"Hardware device not recognized by system on the office laptop, this is a non-critical issue (ticket 6137)",Hardware,Low
"Hardware device not recognized by system since this morning, this is a moderate impact issue (ticket 6138)",Hardware,Medium
"Hardware device not recognized by system after the latest system update, this is a moderate impact issue (ticket 6139)",Hardware,Medium
"Hard disk failure warning appears during peak working hours, this is a urgent issue (ticket 6140)",Hardware,High
"Printer does not respond to commands after recent configuration changes, this is a non-critical issue (ticket 6141)",Hardware,Low
"Hardware device not recognized by system since this morning, this is a non-critical issue (ticket 6142)",Hardware,Low
"Hard disk failure warning appears after recent configuration changes, this is a low impact issue (ticket 6143)",Hardware,Low
"Printer does not respond to commands reported by several employees, this is a blocking operations issue (ticket 6144)",Hardware,High
"Battery drains unusually fast intermittently throughout the day, this is a occasionally issue (ticket 6145)",Hardware,Low
"Hard disk failure warning appears during peak working hours, this is a affects productivity issue (ticket 6146)",Hardware,Medium
"Several keyboard keys are not functioning affecting critical business operations, this is a occasionally issue (ticket 6147)",Hardware,Low
"Hard disk failure warning appears on the office laptop, this is a system down issue (ticket 6148)",Hardware,High
"Hard disk failure warning appears on the office laptop, this is a occasionally issue (ticket 6149)",Hardware,Low
"Several keyboard keys are not functioning after the latest system update, this is a affects productivity issue (ticket 6150)",Hardware,Medium
"Hardware device not recognized by system during peak working hours, this is a urgent issue (ticket 6151)",Hardware,High
"Battery drains unusually fast after recent configuration changes, this is a minor issue (ticket 6152)",Hardware,Low
"Hard disk failure warning appears during peak working hours, this is a minor issue (ticket 6153)",Hardware,Low
"Hardware device not recognized by system for multiple users in the same department, this is a non-critical issue (ticket 6154)",Hardware,Low
"Laptop overheats after long usage for multiple users in the same department, this is a low impact issue (ticket 6155)",Hardware,Low
"Printer does not respond to commands affecting critical business operations, this is a non-critical issue (ticket 6156)",Hardware,Low
"Several keyboard keys are not functioning during peak working hours, this is a critical issue issue (ticket 6157)",Hardware,High
"Several keyboard keys are not functioning reported by several employees, this is a system down issue (ticket 6158)",Hardware,High
"Several keyboard keys are not functioning since this morning, this is a blocking operations issue (ticket 6159)",Hardware,High
"Printer does not respond to commands affecting critical business operations, this is a non-critical issue (ticket 6160)",Hardware,Low
"Several keyboard keys are not functioning when connected to office network, this is a minor issue (ticket 6161)",Hardware,Low
"Laptop overheats after long usage when connected to office network, this is a affects productivity issue (ticket 6162)",Hardware,Medium
"Hard disk failure warning appears after recent configuration changes, this is a critical issue issue (ticket 6163)",Hardware,High
"Several keyboard keys are not functioning during peak working hours, this is a occasionally issue (ticket 6164)",Hardware,Low
"Hard disk failure warning appears since this morning, this is a critical issue issue (ticket 6165)",Hardware,High
"Laptop overheats after long usage for multiple users in the same department, this is a affects productivity issue (ticket 6166)",Hardware,Medium
"Several keyboard keys are not functioning when connected to office network, this is a system down issue (ticket 6167)",Hardware,High
"Monitor screen keeps flickering for multiple users in the same department, this is a occasionally issue (ticket 6168)",Hardware,Low
"Hardware device not recognized by system during peak working hours, this is a blocking operations issue (ticket 6169)",Hardware,High
"Several keyboard keys are not functioning reported by several employees, this is a low impact issue (ticket 6170)",Hardware,Low
"Hard disk failure warning appears on the office laptop, this is a critical issue issue (ticket 6171)",Hardware,High
"Printer does not respond to commands on the office laptop, this is a critical issue issue (ticket 6172)",Hardware,High
"Battery drains unusually fast when connected to office network, this is a needs attention issue (ticket 6173)",Hardware,Medium
"Monitor screen keeps flickering since this morning, this is a non-critical issue (ticket 6174)",Hardware,Low
"Printer does not respond to commands reported by several employees, this is a urgent issue (ticket 6175)",Hardware,High
"Laptop overheats after long usage reported by several employees, this is a occasionally issue (ticket 6176)",Hardware,Low
"Several keyboard keys are not functioning after recent configuration changes, this is a needs attention issue (ticket 6177)",Hardware,Medium
"Several keyboard keys are not functioning affecting critical business operations, this is a system down issue (ticket 6178)",Hardware,High
"Printer does not respond to commands during peak working hours, this is a system down issue (ticket 6179)",Hardware,High
"Monitor screen keeps flickering since this morning, this is a low impact issue (ticket 6180)",Hardware,Low
"Laptop overheats after long usage after the latest system update, this is a blocking operations issue (ticket 6181)",Hardware,High
"Hard disk failure warning appears when connected to office network, this is a affects productivity issue (ticket 6182)",Hardware,Medium
"Hard disk failure warning appears after the latest system update, this is a needs attention issue (ticket 6183)",Hardware,Medium
"Monitor screen keeps flickering on the office laptop, this is a needs attention issue (ticket 6184)",Hardware,Medium
"Printer does not respond to commands reported by several employees, this is a low impact issue (ticket 6185)",Hardware,Low
"Battery drains unusually fast since this morning, this is a moderate impact issue (ticket 6186)",Hardware,Medium
"Hard disk failure warning appears for multiple users in the same department, this is a blocking operations issue (ticket 6187)",Hardware,High
"Battery drains unusually fast after recent configuration changes, this is a blocking operations issue (ticket 6188)",Hardware,High
"Hardware device not recognized by system since this morning, this is a minor issue (ticket 6189)",Hardware,Low
"Battery drains unusually fast during peak working hours, this is a affects productivity issue (ticket 6190)",Hardware,Medium
"Printer does not respond to commands since this morning, this is a minor issue (ticket 6191)",Hardware,Low
"Monitor screen keeps flickering for multiple users in the same department, this is a system down issue (ticket 6192)",Hardware,High
"Printer does not respond to commands since this morning, this is a minor issue (ticket 6193)",Hardware,Low
"Printer does not respond to commands on the office laptop, this is a occasionally issue (ticket 6194)",Hardware,Low
"Monitor screen keeps flickering on the office laptop, this is a occasionally issue (ticket 6195)",Hardware,Low
"Laptop overheats after long usage after the latest system update, this is a minor issue (ticket 6196)",Hardware,Low
"Laptop overheats after long usage after the latest system update, this is a urgent issue (ticket 6197)",Hardware,High
"Monitor screen keeps flickering since this morning, this is a occasionally issue (ticket 6198)",Hardware,Low
"Monitor screen keeps flickering for multiple users in the same department, this is a minor issue (ticket 6199)",Hardware,Low
"Several keyboard keys are not functioning when connected to office network, this is a moderate impact issue (ticket 6200)",Hardware,Medium
"Hardware device not recognized by system affecting critical business operations, this is a occasionally issue (ticket 6201)",Hardware,Low
"Printer does not respond to commands on the office laptop, this is a affects productivity issue (ticket 6202)",Hardware,Medium
"Several keyboard keys are not functioning after the latest system update, this is a occasionally issue (ticket 6203)",Hardware,Low
"Hard disk failure warning appears after the latest system update, this is a affects productivity issue (ticket 6204)",Hardware,Medium
"Laptop overheats after long usage affecting critical business operations, this is a occasionally issue (ticket 6205)",Hardware,Low
"Laptop overheats after long usage after the latest system update, this is a urgent issue (ticket 6206)",Hardware,High
"Hardware device not recognized by system for multiple users in the same department, this is a minor issue (ticket 6207)",Hardware,Low
"Hard disk failure warning appears intermittently throughout the day, this is a needs attention issue (ticket 6208)",Hardware,Medium
"Monitor screen keeps flickering reported by several employees, this is a affects productivity issue (ticket 6209)",Hardware,Medium
"Laptop overheats after long usage during peak working hours, this is a low impact issue (ticket 6210)",Hardware,Low
"Hard disk failure warning appears on the office laptop, this is a low impact issue (ticket 6211)",Hardware,Low
"Monitor screen keeps flickering reported by several employees, this is a occasionally issue (ticket 6212)",Hardware,Low
"Laptop overheats after long usage since this morning, this is a non-critical issue (ticket 6213)",Hardware,Low
"Battery drains unusually fast during peak working hours, this is a needs attention issue (ticket 6214)",Hardware,Medium
"Monitor screen keeps flickering reported by several employees, this is a critical issue issue (ticket 6215)",Hardware,High
"Printer does not respond to commands after the latest system update, this is a low impact issue (ticket 6216)",Hardware,Low
"Laptop overheats after long usage on the office laptop, this is a non-critical issue (ticket 6217)",Hardware,Low
"Several keyboard keys are not functioning when connected to office network, this is a low impact issue (ticket 6218)",Hardware,Low
"Hardware device not recognized by system for multiple users in the same department, this is a affects productivity issue (ticket 6219)",Hardware,Medium
"Battery drains unusually fast affecting critical business operations, this is a needs attention issue (ticket 6220)",Hardware,Medium
"Monitor screen keeps flickering when connected to office network, this is a occasionally issue (ticket 6221)",Hardware,Low
"Battery drains unusually fast since this morning, this is a blocking operations issue (ticket 6222)",Hardware,High
"Laptop overheats after long usage after recent configuration changes, this is a system down issue (ticket 6223)",Hardware,High
"Laptop overheats after long usage since this morning, this is a affects productivity issue (ticket 6224)",Hardware,Medium
"Battery drains unusually fast affecting critical business operations, this is a urgent issue (ticket 6225)",Hardware,High
"Hardware device not recognized by system after the latest system update, this is a occasionally issue (ticket 6226)",Hardware,Low
"Several keyboard keys are not functioning during peak working hours, this is a occasionally issue (ticket 6227)",Hardware,Low
"Hardware device not recognized by system intermittently throughout the day, this is a non-critical issue (ticket 6228)",Hardware,Low
"Laptop overheats after long usage for multiple users in the same department, this is a occasionally issue (ticket 6229)",Hardware,Low
"Laptop overheats after long usage reported by several employees, this is a needs attention issue (ticket 6230)",Hardware,Medium
"Several keyboard keys are not functioning since this morning, this is a needs attention issue (ticket 6231)",Hardware,Medium
"Hard disk failure warning appears reported by several employees, this is a affects productivity issue (ticket 6232)",Hardware,Medium
"Monitor screen keeps flickering after recent configuration changes, this is a affects productivity issue (ticket 6233)",Hardware,Medium
"Monitor screen keeps flickering for multiple users in the same department, this is a system down issue (ticket 6234)",Hardware,High
"Laptop overheats after long usage affecting critical business operations, this is a moderate impact issue (ticket 6235)",Hardware,Medium
"Hardware device not recognized by system for multiple users in the same department, this is a moderate impact issue (ticket 6236)",Hardware,Medium
"Monitor screen keeps flickering affecting critical business operations, this is a moderate impact issue (ticket 6237)",Hardware,Medium
"Several keyboard keys are not functioning since this morning, this is a low impact issue (ticket 6238)",Hardware,Low
"Hard disk failure warning appears since this morning, this is a low impact issue (ticket 6239)",Hardware,Low
"Hardware device not recognized by system reported by several employees, this is a occasionally issue (ticket 6240)",Hardware,Low
"Several keyboard keys are not functioning after the latest system update, this is a moderate impact issue (ticket 6241)",Hardware,Medium
"Hard disk failure warning appears intermittently throughout the day, this is a minor issue (ticket 6242)",Hardware,Low
"Several keyboard keys are not functioning intermittently throughout the day, this is a moderate impact issue (ticket 6243)",Hardware,Medium
"Battery drains unusually fast for multiple users in the same department, this is a urgent issue (ticket 6244)",Hardware,High
"Laptop overheats after long usage affecting critical business operations, this is a non-critical issue (ticket 6245)",Hardware,Low
"Battery drains unusually fast affecting critical business operations, this is a moderate impact issue (ticket 6246)",Hardware,Medium
"Printer does not respond to commands after the latest system update, this is a urgent issue (ticket 6247)",Hardware,High
"Battery drains unusually fast when connected to office network, this is a needs attention issue (ticket 6248)",Hardware,Medium
"Several keyboard keys are not functioning when connected to office network, this is a affects productivity issue (ticket 6249)",Hardware,Medium
"Battery drains unusually fast affecting critical business operations, this is a low impact issue (ticket 6250)",Hardware,Low
"Several keyboard keys are not functioning reported by several employees, this is a needs attention issue (ticket 6251)",Hardware,Medium
"Monitor screen keeps flickering on the office laptop, this is a urgent issue (ticket 6252)",Hardware,High
"Battery drains unusually fast intermittently throughout the day, this is a low impact issue (ticket 6253)",Hardware,Low
"Several keyboard keys are not functioning affecting critical business operations, this is a occasionally issue (ticket 6254)",Hardware,Low
"Hardware device not recognized by system intermittently throughout the day, this is a minor issue (ticket 6255)",Hardware,Low
"Printer does not respond to commands after the latest system update, this is a low impact issue (ticket 6256)",Hardware,Low
"Several keyboard keys are not functioning for multiple users in the same department, this is a low impact issue (ticket 6257)",Hardware,Low
"Several keyboard keys are not functioning reported by several employees, this is a affects productivity issue (ticket 6258)",Hardware,Medium
"Battery drains unusually fast since this morning, this is a occasionally issue (ticket 6259)",Hardware,Low
"Hardware device not recognized by system after the latest system update, this is a non-critical issue (ticket 6260)",Hardware,Low
"Laptop overheats after long usage for multiple users in the same department, this is a affects productivity issue (ticket 6261)",Hardware,Medium
"Printer does not respond to commands since this morning, this is a moderate impact issue (ticket 6262)",Hardware,Medium
"Battery drains unusually fast when connected to office network, this is a low impact issue (ticket 6263)",Hardware,Low
"Laptop overheats after long usage after the latest system update, this is a minor issue (ticket 6264)",Hardware,Low
"Monitor screen keeps flickering intermittently throughout the day, this is a critical issue issue (ticket 6265)",Hardware,High
"Printer does not respond to commands intermittently throughout the day, this is a occasionally issue (ticket 6266)",Hardware,Low
"Laptop overheats after long usage after recent configuration changes, this is a critical issue issue (ticket 6267)",Hardware,High
"Laptop overheats after long usage on the office laptop, this is a affects productivity issue (ticket 6268)",Hardware,Medium
"Battery drains unusually fast during peak working hours, this is a affects productivity issue (ticket 6269)",Hardware,Medium
"Monitor screen keeps flickering on the office laptop, this is a affects productivity issue (ticket 6270)",Hardware,Medium
"Several keyboard keys are not functioning after the latest system update, this is a low impact issue (ticket 6271)",Hardware,Low
"Laptop overheats after long usage during peak working hours, this is a system down issue (ticket 6272)",Hardware,High
"Hard disk failure warning appears since this morning, this is a needs attention issue (ticket 6273)",Hardware,Medium
